Study name,Comparison,Outcome,Time point,Std diff in means                                                                          ,Group-A Sample size ,Group-B Sample size ,Effect direction,Hedges's g,Std Err,treated,age,dose,random/nonr,learning status,outcome test ,pretest pattern control group,type of training,sample age control group,sample age training group,Participants,training dose,program,gray,follow up test,design
"Thompson,  et al. 2013 comp 1",Comparison 1 (n-back vs control),nWASI (pre) WAIS-III (post). Matrix Reasoning,posttest,-0.3728,20,19,1,-0.3652,0.3165,untreated,adults,large,n,u,WASI (pre) WAIS-III (post). Matrix Reasoning,Blank,n back,23.1,21.2,"Recruited through web ad, flyers, and email to Northeastern  & Tufts college mailing lists. Must be 18-45, right handed, in good health, and not taking any drugs","After recruitment: 6 hrs (approx) behavioral testing (spread across 3 days) and 2 hrs of structural and fMRI. 20 sessions of training. One session a day, five times a week, for avg of 40 min. Then posttest (avg # of days between last training session & post-test was 4.3 with a range 0-14 days). Approx 6mo later training groups for follow up(avg 187 days with range 122-252) ",Adaptive dual n-back followed Jaeggi et al 2008.  Multiple object tracking followed genearl techniques from Alvarez & Franconeri (2007),published,Blank,"Matched 2 training groups based on age, gender, & score on RAPM. Then each member of that group was randomly assigned to a training group. No contact control recruited seperately- match by gender and initial RAPM (not age, this group was slightly older) Pretest-training-posttest-follow up 6 mo later."
"Thompson,  et al. 2013 comp 1",Comparison 1 (n-back vs control),nWASI (pre) WAIS-III (post). nBlocks,posttest,-0.1027,20,19,1,-0.1006,0.3140,untreated,adults,large,n,u,WASI (pre) WAIS-III (post). Blocks,Blank,n back,23.1,21.2,"Recruited through web ad, flyers, and email to Northeastern  & Tufts college mailing lists. Must be 18-45, right handed, in good health, and not taking any drugs","After recruitment: 6 hrs (approx) behavioral testing (spread across 3 days) and 2 hrs of structural and fMRI. 20 sessions of training. One session a day, five times a week, for avg of 40 min. Then posttest (avg # of days between last training session & post-test was 4.3 with a range 0-14 days). Approx 6mo later training groups for follow up(avg 187 days with range 122-252) ",Adaptive dual n-back followed Jaeggi et al 2008.  Multiple object tracking followed genearl techniques from Alvarez & Franconeri (2007),published,Blank,"Matched 2 training groups based on age, gender, & score on RAPM. Then each member of that group was randomly assigned to a training group. No contact control recruited seperately- match by gender and initial RAPM (not age, this group was slightly older) Pretest-training-posttest-follow up 6 mo later."
"Thompson,  et al. 2013 comp 1",Comparison 1 (n-back vs control),reading comprehension,posttest,0.0000,20,18,1,0.0000,0.3181,untreated,adults,large,n,u,Nelson Denny. Reading Comphrension,Blank,n back,23.1,21.2,"Recruited through web ad, flyers, and email to Northeastern  & Tufts college mailing lists. Must be 18-45, right handed, in good health, and not taking any drugs","After recruitment: 6 hrs (approx) behavioral testing (spread across 3 days) and 2 hrs of structural and fMRI. 20 sessions of training. One session a day, five times a week, for avg of 40 min. Then posttest (avg # of days between last training session & post-test was 4.3 with a range 0-14 days). Approx 6mo later training groups for follow up(avg 187 days with range 122-252) ",Adaptive dual n-back followed Jaeggi et al 2008.  Multiple object tracking followed genearl techniques from Alvarez & Franconeri (2007),published,Blank,"Matched 2 training groups based on age, gender, & score on RAPM. Then each member of that group was randomly assigned to a training group. No contact control recruited seperately- match by gender and initial RAPM (not age, this group was slightly older) Pretest-training-posttest-follow up 6 mo later."
"Thompson,  et al. 2013 comp 1",Comparison 1 (n-back vs control),verbal working memory1,posttest,0.1810,19,14,1,0.1766,0.3443,untreated,adults,large,n,u,operation span ,Blank,n back,23.1,21.2,"Recruited through web ad, flyers, and email to Northeastern  & Tufts college mailing lists. Must be 18-45, right handed, in good health, and not taking any drugs","After recruitment: 6 hrs (approx) behavioral testing (spread across 3 days) and 2 hrs of structural and fMRI. 20 sessions of training. One session a day, five times a week, for avg of 40 min. Then posttest (avg # of days between last training session & post-test was 4.3 with a range 0-14 days). Approx 6mo later training groups for follow up(avg 187 days with range 122-252) ",Adaptive dual n-back followed Jaeggi et al 2008.  Multiple object tracking followed genearl techniques from Alvarez & Franconeri (2007),published,Blank,"Matched 2 training groups based on age, gender, & score on RAPM. Then each member of that group was randomly assigned to a training group. No contact control recruited seperately- match by gender and initial RAPM (not age, this group was slightly older) Pretest-training-posttest-follow up 6 mo later."
"Thompson,  et al. 2013 comp 1",Comparison 1 (n-back vs control),verbal working memory2,posttest,0.2133,20,14,1,0.2082,0.3412,untreated,adults,large,n,u,reading span ,Blank,n back,23.1,21.2,"Recruited through web ad, flyers, and email to Northeastern  & Tufts college mailing lists. Must be 18-45, right handed, in good health, and not taking any drugs","After recruitment: 6 hrs (approx) behavioral testing (spread across 3 days) and 2 hrs of structural and fMRI. 20 sessions of training. One session a day, five times a week, for avg of 40 min. Then posttest (avg # of days between last training session & post-test was 4.3 with a range 0-14 days). Approx 6mo later training groups for follow up(avg 187 days with range 122-252) ",Adaptive dual n-back followed Jaeggi et al 2008.  Multiple object tracking followed genearl techniques from Alvarez & Franconeri (2007),published,Blank,"Matched 2 training groups based on age, gender, & score on RAPM. Then each member of that group was randomly assigned to a training group. No contact control recruited seperately- match by gender and initial RAPM (not age, this group was slightly older) Pretest-training-posttest-follow up 6 mo later."
"Thompson,  et al. 2013 comp 1",Comparison 1 (n-back vs control),vWASI (pre) WAIS-III (post). Similarities,posttest,0.2472,20,19,1,0.2422,0.3150,untreated,adults,large,n,u,WASI (pre) WAIS-III (post). Similarities,Blank,n back,23.1,21.2,"Recruited through web ad, flyers, and email to Northeastern  & Tufts college mailing lists. Must be 18-45, right handed, in good health, and not taking any drugs","After recruitment: 6 hrs (approx) behavioral testing (spread across 3 days) and 2 hrs of structural and fMRI. 20 sessions of training. One session a day, five times a week, for avg of 40 min. Then posttest (avg # of days between last training session & post-test was 4.3 with a range 0-14 days). Approx 6mo later training groups for follow up(avg 187 days with range 122-252) ",Adaptive dual n-back followed Jaeggi et al 2008.  Multiple object tracking followed genearl techniques from Alvarez & Franconeri (2007),published,Blank,"Matched 2 training groups based on age, gender, & score on RAPM. Then each member of that group was randomly assigned to a training group. No contact control recruited seperately- match by gender and initial RAPM (not age, this group was slightly older) Pretest-training-posttest-follow up 6 mo later."
"Thompson,  et al. 2013 comp 1",Comparison 1 (n-back vs control),vWASI (pre) WAIS-III (post). Vocabulary,posttest,-0.0491,20,19,1,-0.0481,0.3139,untreated,adults,large,n,u,WASI (pre) WAIS-III (post). Vocabulary,Blank,n back,23.1,21.2,"Recruited through web ad, flyers, and email to Northeastern  & Tufts college mailing lists. Must be 18-45, right handed, in good health, and not taking any drugs","After recruitment: 6 hrs (approx) behavioral testing (spread across 3 days) and 2 hrs of structural and fMRI. 20 sessions of training. One session a day, five times a week, for avg of 40 min. Then posttest (avg # of days between last training session & post-test was 4.3 with a range 0-14 days). Approx 6mo later training groups for follow up(avg 187 days with range 122-252) ",Adaptive dual n-back followed Jaeggi et al 2008.  Multiple object tracking followed genearl techniques from Alvarez & Franconeri (2007),published,Blank,"Matched 2 training groups based on age, gender, & score on RAPM. Then each member of that group was randomly assigned to a training group. No contact control recruited seperately- match by gender and initial RAPM (not age, this group was slightly older) Pretest-training-posttest-follow up 6 mo later."
"Thompson,  et al. 2013 comp 2",Comparison 2 (N-BACK VS vs ACTIVE control),crit,posttest,2.7000,20,19,1,2.6658,0.4354,treat,adults,large,n,u,n back,Blank,n back,23.1,21.3,"Recruited through web ad, flyers, and email to Northeastern  & Tufts college mailing lists. Must be 18-45, right handed, in good health, and not taking any drugs","After recruitment: 6 hrs (approx) behavioral testing (spread across 3 days) and 2 hrs of structural and fMRI. 20 sessions of training. One session a day, five times a week, for avg of 40 min. Then posttest (avg # of days between last training session & post-test was 4.3 with a range 0-14 days). Approx 6mo later training groups for follow up(avg 187 days with range 122-252) ",Adaptive dual n-back followed Jaeggi et al 2008.  Multiple object tracking followed genearl techniques from Alvarez & Franconeri (2007),published,Blank,"Matched 2 training groups based on age, gender, & score on RAPM. Then each member of that group was randomly assigned to a training group. No contact control recruited seperately- match by gender and initial RAPM (not age, this group was slightly older) Pretest-training-posttest-follow up 6 mo later."
"Thompson,  et al. 2013 comp 2",Comparison 2 (N-BACK VS vs ACTIVE control),decoding,posttest,-0.0400,20,19,1,-0.0443,0.3139,treat,adults,large,n,u,nelson-denny reading rate,Blank,n back,23.1,21.3,"Recruited through web ad, flyers, and email to Northeastern  & Tufts college mailing lists. Must be 18-45, right handed, in good health, and not taking any drugs","After recruitment: 6 hrs (approx) behavioral testing (spread across 3 days) and 2 hrs of structural and fMRI. 20 sessions of training. One session a day, five times a week, for avg of 40 min. Then posttest (avg # of days between last training session & post-test was 4.3 with a range 0-14 days). Approx 6mo later training groups for follow up(avg 187 days with range 122-252) ",Adaptive dual n-back followed Jaeggi et al 2008.  Multiple object tracking followed genearl techniques from Alvarez & Franconeri (2007),published,Blank,"Matched 2 training groups based on age, gender, & score on RAPM. Then each member of that group was randomly assigned to a training group. No contact control recruited seperately- match by gender and initial RAPM (not age, this group was slightly older) Pretest-training-posttest-follow up 6 mo later."
"Thompson,  et al. 2013 comp 2",Comparison 2 (N-BACK VS vs ACTIVE control),nRAPM,posttest,0.0900,20,19,1,0.0954,0.3140,treat,adults,large,n,u,RAPM,Blank,n back,23.1,21.3,"Recruited through web ad, flyers, and email to Northeastern  & Tufts college mailing lists. Must be 18-45, right handed, in good health, and not taking any drugs","After recruitment: 6 hrs (approx) behavioral testing (spread across 3 days) and 2 hrs of structural and fMRI. 20 sessions of training. One session a day, five times a week, for avg of 40 min. Then posttest (avg # of days between last training session & post-test was 4.3 with a range 0-14 days). Approx 6mo later training groups for follow up(avg 187 days with range 122-252) ",Adaptive dual n-back followed Jaeggi et al 2008.  Multiple object tracking followed genearl techniques from Alvarez & Franconeri (2007),published,Blank,"Matched 2 training groups based on age, gender, & score on RAPM. Then each member of that group was randomly assigned to a training group. No contact control recruited seperately- match by gender and initial RAPM (not age, this group was slightly older) Pretest-training-posttest-follow up 6 mo later."
"Thompson,  et al. 2013 comp 2",Comparison 2 (N-BACK VS vs ACTIVE control),nWASI (pre) WAIS-III (post). Blocks,posttest,-0.8200,20,19,1,-0.8053,0.3268,treat,adults,large,n,u,WASI (pre) WAIS-III (post). Blocks,Blank,n back,23.1,21.3,"Recruited through web ad, flyers, and email to Northeastern  & Tufts college mailing lists. Must be 18-45, right handed, in good health, and not taking any drugs","After recruitment: 6 hrs (approx) behavioral testing (spread across 3 days) and 2 hrs of structural and fMRI. 20 sessions of training. One session a day, five times a week, for avg of 40 min. Then posttest (avg # of days between last training session & post-test was 4.3 with a range 0-14 days). Approx 6mo later training groups for follow up(avg 187 days with range 122-252) ",Adaptive dual n-back followed Jaeggi et al 2008.  Multiple object tracking followed genearl techniques from Alvarez & Franconeri (2007),published,Blank,"Matched 2 training groups based on age, gender, & score on RAPM. Then each member of that group was randomly assigned to a training group. No contact control recruited seperately- match by gender and initial RAPM (not age, this group was slightly older) Pretest-training-posttest-follow up 6 mo later."
"Thompson,  et al. 2013 comp 2",Comparison 2 (N-BACK VS vs ACTIVE control),nWASI (pre) WAIS-III (post). Matrix Reasoning,posttest,-0.2200,20,19,1,-0.2208,0.3148,treat,adults,large,n,u,WASI (pre) WAIS-III (post). Matrix Reasoning,Blank,n back,23.1,21.3,"Recruited through web ad, flyers, and email to Northeastern  & Tufts college mailing lists. Must be 18-45, right handed, in good health, and not taking any drugs","After recruitment: 6 hrs (approx) behavioral testing (spread across 3 days) and 2 hrs of structural and fMRI. 20 sessions of training. One session a day, five times a week, for avg of 40 min. Then posttest (avg # of days between last training session & post-test was 4.3 with a range 0-14 days). Approx 6mo later training groups for follow up(avg 187 days with range 122-252) ",Adaptive dual n-back followed Jaeggi et al 2008.  Multiple object tracking followed genearl techniques from Alvarez & Franconeri (2007),published,Blank,"Matched 2 training groups based on age, gender, & score on RAPM. Then each member of that group was randomly assigned to a training group. No contact control recruited seperately- match by gender and initial RAPM (not age, this group was slightly older) Pretest-training-posttest-follow up 6 mo later."
